Adjacent Road Lane 0-1m,Adjacent Road Lane 1-3m,Adjacent Severe Hazard 0-1m,Adjacent Severe Hazard 1-3m,Adjacent Sidewalk 0-1m,Adjacent Sidewalk 1-3m,Adjacent Vehicle Parking 0-1m,Adjacent Vehicle Parking 1-3m,Adjacent object or level change 0-1m,Adjacent object or level change 1-3m,Area type,BB Band,BP Band,Bicycle/LV speed differential,Bicycle/LV speed – average,Crossing Facility,Curvature,Delineation,Facility Type,Facility Width per Direction,Facility access,Fixed Obstacle on Facility,Flow Direction,Grade,Heavy vehicle flow,Intersecting Bicycle Facility,Intersection Approach,Intersection or Road Crossing,Light Segregation,Loose or slippery surface,Major Surface Deformation or Drain Opening,Non-Fixed Obstacle on Facility,Number of lanes – adjacent road,Number of lanes – intersecting road,Observed proportion of cargo bikes and mopeds,Overall Risk Level Band,Peak bicycle/LV traffic flow,Peak pedestrian flow along or across facility,Pedestrian Crossing,Property Access,Road AADT,Road operating speed (mean),Road operating speed (unit),Road speed limit,SB Band,Street Lighting,Tram or Train Rails,VB Band,Width Restriction
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,35.8,1,50,1,1,2,1,2
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,35.8,1,50,1,1,2,1,1
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,35.8,1,50,1,1,2,1,2
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,4.5,1,50,1,1,2,1,2
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,4.5,1,50,1,1,2,1,2
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,41.1,1,50,1,1,2,1,2
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,41.1,1,50,1,1,2,1,2
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,41.1,1,50,1,1,2,1,2
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,3,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,30.0,1,50,1,1,2,1,2
1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2,1,1,3,3,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,32.0,1,50,1,1,2,1,2
2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,3,3,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,32.0,1,50,1,1,2,1,2
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,1,3,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,6000,32.0,1,50,1,1,2,1,1
2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,1,3,1,1,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,6000,32.0,1,50,1,1,2,1,1
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,6000,32.0,1,50,1,1,2,1,2
1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,6000,32.0,1,50,1,1,2,1,2
